x,y,text,lang
-17.945915,-2.9978337,"""positivity""",ko
-24.814081,-14.296927,"""vision implementation""",ko
-36.010227,-7.899915,"""co-prosperity""",ko
-32.570194,-19.013582,"""to celebrate""",ko
-3.0184822,8.771456,"""exam""",ko
-14.734412,-14.829293,"""observation""",ko
-16.150372,-7.27272,"""consultation""",ko
-19.500895,-22.24264,"""nature""",ko
-18.247196,-25.621468,"""human rights""",ko
-20.059404,-8.977376,"""resolution""",ko
-37.123936,-26.063545,"""to enjoy""",ko
-27.755129,-16.392342,"""kindness""",ko
-30.179731,-31.702457,"""leadership""",ko
-32.23356,-5.5770593,"""respect""",ko
-32.642025,-21.456856,"""to strengthen""",ko
-19.788729,-11.808299,"""effort""",ko
-36.18433,-9.205396,"""imagination""",ko
-29.992672,-10.626693,"""universe""",ko
-19.573317,0.061884724,"""variability""",ko
-17.863184,-16.501984,"""intuition""",ko
-11.493696,-18.729265,"""trust""",ko
-3.2473357,4.7831097,"""resource""",ko
11.183033,19.422588,"""operation""",ko
-28.900476,-13.322432,"""pursuit""",ko
-20.299337,-28.822773,"""insider""",ko
-27.111414,-26.409029,"""communication""",ko
-10.794439,-17.87277,"""conviction""",ko
-20.066164,-21.850674,"""autonomy""",ko
-34.455536,-20.161755,"""to improve""",ko
-15.826546,-7.355621,"""negotiation""",ko
-24.668737,-3.2931192,"""recovery""",ko
-29.674778,-28.054497,"""values""",ko
-8.008202,6.5577617,"""technology""",ko
-18.504648,-12.496411,"""resilience""",ko
-16.471996,-27.907944,"""knowledge""",ko
-10.26835,9.500778,"""counseling""",ko
-17.530521,-14.182264,"""inspiration""",ko
-32.025375,-16.55912,"""beyond expectation""",ko
-30.243923,-28.585997,"""value creation""",ko
-25.549791,-17.997177,"""rationality""",ko
-29.527004,-19.661423,"""past""",ko
-17.576557,-4.401524,"""justice""",ko
-31.312857,-21.303915,"""to share""",ko
-36.042492,-19.597635,"""to be curious""",ko
-37.860893,-26.444134,"""to seek happiness""",ko
-10.059853,-8.649546,"""heritage""",ko
-19.893791,-19.475477,"""public policy""",ko
-24.702785,-12.3256645,"""togetherness""",ko
4.510186,6.8121295,"""loving""",ko
-9.723021,-2.54147,"""to choose""",ko
-35.20896,-9.175637,"""imagination""",ko
-24.19821,-28.018446,"""natural disaster""",ko
-29.891712,-23.453716,"""participation""",ko
-33.949303,-10.062194,"""satisfaction""",ko
-17.69474,-10.154456,"""discernment""",ko
-6.1074114,5.468939,"""learning ability""",ko
-14.499258,-11.107043,"""social responsibility""",ko
-29.119738,-7.310602,"""necessity""",ko
-12.299344,6.096973,"""expertise""",ko
-25.850615,-2.9950616,"""happiness""",ko
-9.072414,7.9069695,"""innovation""",ko
-16.278044,-27.812819,"""stocks""",ko
-17.933367,-3.0729942,"""passion""",ko
-21.507372,-9.706059,"""romance""",ko
-22.52585,-15.25066,"""tragedy""",ko
-36.266598,-28.22311,"""to finish""",ko
-31.458437,-14.029762,"""wise""",ko
-15.164992,-6.1348615,"""collaboration""",ko
-34.651794,-20.542572,"""to unfold""",ko
-29.224766,10.426727,"""process innovation""",ko
-3.29019,6.0813713,"""family""",ko
-1.5860878,12.07496,"""harmony""",ko
-15.322674,-11.231816,"""social equality""",ko
-7.25021,9.816225,"""democracy""",ko
-4.131006,5.4693317,"""process""",ko
-6.9695096,8.105195,"""art""",ko
-18.025518,-26.749231,"""perception""",ko
-4.9191694,4.3048725,"""structure""",ko
-9.792747,5.312455,"""solidarity""",ko
-26.564587,-6.6181736,"""vitality""",ko
-20.357216,-8.78521,"""bond""",ko
-31.574896,-14.262106,"""wisely""",ko
-20.081823,-26.333107,"""personal information""",ko
-11.640171,-0.34667534,"""potential""",ko
-24.399172,-19.166801,"""innovative""",ko
-18.464334,-22.822283,"""self-improvement""",ko
-26.491505,-14.601548,"""growth""",ko
-22.746466,-7.7914715,"""adventure""",ko
-9.689749,8.694414,"""strategy""",ko
-23.767162,-8.476934,"""dissemination""",ko
-33.311512,-27.070543,"""to cry""",ko
-34.18158,-17.19948,"""to create""",ko
-16.435513,-27.09878,"""rest""",ko
-22.967232,-19.648676,"""creative thinking""",ko
-23.368996,-21.692583,"""intelligence""",ko
-7.415994,15.384708,"""international cooperation""",ko
