x,y,text,lang
-25.043694,-9.813376,"""love""",ko
-13.014811,-15.934528,"""happiness""",ko
-25.94507,-15.806379,"""freedom""",ko
-33.94639,-7.4625244,"""peace""",ko
-21.455278,-18.54338,"""friendship""",ko
-15.03179,-19.293985,"""hope""",ko
-22.722809,-31.796638,"""courage""",ko
-33.362484,-9.141276,"""family""",ko
-7.6836767,-26.807339,"""knowledge""",ko
-33.77112,-4.9202485,"""dream""",ko
-9.843717,-29.448278,"""trust""",ko
-16.596352,13.030092,"""joy""",ko
-18.66909,-18.416088,"""kindness""",ko
-24.470625,-19.689823,"""justice""",ko
-23.28737,-9.879035,"""respect""",ko
-29.196592,-8.088497,"""thought""",ko
-21.091572,-44.329685,"""beauty""",ko
-16.420141,-28.98126,"""self""",ko
-12.860675,-15.24911,"""action""",ko
-19.025816,-31.253775,"""success""",ko
-10.719904,-18.317614,"""faith""",ko
-13.255284,-19.227175,"""learning""",ko
-29.166933,-32.564976,"""decision""",ko
-31.597288,-10.797037,"""relationship""",ko
-35.467136,-19.958326,"""to love""",ko
-24.016623,-22.498877,"""to learn""",ko
-10.335727,-46.120125,"""to understand""",ko
-18.26428,-45.186337,"""to meet""",ko
-9.407976,-42.348583,"""to remember""",ko
-20.06782,-43.156574,"""to achieve""",ko
-6.5582547,-43.047222,"""to change""",ko
-16.567806,-44.769436,"""to help""",ko
-12.754615,-43.303806,"""to feel""",ko
-9.663579,-45.17661,"""to think""",ko
-7.8724847,-44.87062,"""to create""",ko
-12.095388,-45.304893,"""to enjoy""",ko
-8.16536,-42.871803,"""to exist""",ko
-18.237879,-42.761303,"""to disappear""",ko
-17.720032,-44.684822,"""to happen""",ko
-6.355748,-45.423485,"""to convey""",ko
-35.69911,-18.61147,"""to choose""",ko
-9.285824,-42.838318,"""to expect""",ko
-7.7856107,-41.456543,"""to accept""",ko
-10.218831,-47.562645,"""to combine""",ko
-6.630882,-45.248722,"""to unfold""",ko
-34.296417,-17.611597,"""to evolve""",ko
-6.799714,-42.98813,"""to strengthen""",ko
-36.164074,-18.091976,"""to confirm""",ko
-7.952212,-45.257973,"""to improve""",ko
-4.8612976,-44.80388,"""to express""",ko
-19.572906,-25.800041,"""truth""",ko
-12.681125,-39.726276,"""self-esteem""",ko
-21.530653,-18.224382,"""universe""",ko
-12.2259245,-24.287754,"""equality""",ko
-20.97134,-20.696468,"""responsibility""",ko
-18.477789,-22.712008,"""wholeness""",ko
-36.467846,-8.676193,"""safety""",ko
-33.80153,-13.368014,"""activity""",ko
-22.163542,-27.878504,"""inspiration""",ko
-29.744158,-34.613342,"""determination""",ko
-27.859028,-42.36487,"""balance""",ko
-21.530142,-9.210569,"""dignity""",ko
-12.8042345,-28.65154,"""pursuit""",ko
-4.989588,-24.222067,"""rest""",ko
-5.347383,-40.722675,"""to dream""",ko
-24.312353,-26.095999,"""effort""",ko
-17.85752,-42.92881,"""to fade""",ko
-19.529112,-43.678596,"""to teach""",ko
-9.642975,-43.857872,"""to care""",ko
-9.059548,-46.05535,"""to like""",ko
-10.256109,-47.217888,"""to solve""",ko
-8.884069,-44.069023,"""to begin""",ko
-13.220986,-43.903126,"""to finish""",ko
-15.787928,-21.48875,"""to endure""",ko
-10.444296,-42.6484,"""to share""",ko
-9.3447895,-40.075336,"""to expand""",ko
-15.306532,-46.42834,"""to delight""",ko
-35.159958,-18.148428,"""to research""",ko
-17.816967,-41.763382,"""to be thoughtful""",ko
-7.2696786,-46.841026,"""to communicate""",ko
-18.206352,-44.852894,"""anywhere""",ko
-22.868517,-38.64557,"""proactive""",ko
-12.918482,-19.161814,"""guts""",ko
-19.549107,-43.105507,"""to fit in""",ko
-23.095118,-25.34854,"""adventure""",ko
-5.6617775,-26.670547,"""wisdom""",ko
-8.4990225,-20.201406,"""conviction""",ko
-14.970116,-21.13605,"""to cry""",ko
-16.315865,-20.857862,"""to laugh""",ko
-10.513689,-43.978214,"""to be curious""",ko
