x,y,text,lang
-8.702178,-31.506575,"""psychology""",ko
-17.417763,-36.351414,"""consideration""",ko
-24.102295,-25.354279,"""natural disaster""",ko
0.14471294,-43.07131,"""exercise""",ko
-16.980457,-35.402416,"""learning""",ko
-14.442351,-19.57743,"""adaptability""",ko
-4.0670085,-41.935707,"""ecology""",ko
-17.81868,-26.444487,"""public policy""",ko
-7.394507,-31.388441,"""Earth""",ko
-0.39639235,-37.402348,"""operation""",ko
-16.064919,-39.640602,"""vision""",ko
-0.6558173,-36.561516,"""freedom""",ko
-6.0439396,-41.27697,"""community""",ko
-0.42741895,-47.90776,"""technology""",ko
-27.303482,-29.096992,"""to finish""",ko
-4.2540503,-30.36798,"""freshness""",ko
-13.574209,-34.513443,"""spirit""",ko
0.981513,-47.127888,"""information""",ko
-18.912485,-33.797966,"""hope""",ko
-10.188418,-32.701473,"""future""",ko
-31.854296,-25.171024,"""beauty""",ko
-10.053414,-39.868195,"""adventure""",ko
-30.594973,-35.3423,"""to express""",ko
-29.344296,-33.96277,"""to improve""",ko
-13.390647,-22.291473,"""atmosphere""",ko
-17.585209,-33.121193,"""critique""",ko
-24.493782,-37.952198,"""to choose""",ko
-21.351011,-37.24889,"""to laugh""",ko
3.5701714,-46.157764,"""humanity""",ko
-0.31108752,-47.17212,"""democracy""",ko
-28.04987,-22.107012,"""communication""",ko
-23.380297,-28.273653,"""balanced""",ko
-11.599335,-32.360455,"""meaning""",ko
-5.179193,-28.099878,"""conviction""",ko
-22.97148,-19.120602,"""social responsibility""",ko
-19.041292,-30.680706,"""mindset""",ko
17.642109,26.262674,"""friend""",ko
-30.251966,-23.495653,"""to take risks""",ko
-12.753937,-28.592424,"""body""",ko
-15.641136,-19.361357,"""influence""",ko
-25.449852,-21.174002,"""continuous improvement""",ko
-17.250998,-26.534344,"""publicness""",ko
-14.423716,-28.425434,"""efficiency""",ko
-18.433939,-24.76418,"""contribution""",ko
-20.081482,-18.528566,"""personal information""",ko
-20.22902,-26.518059,"""spontaneity""",ko
-2.22136,-47.38613,"""safety""",ko
-14.444211,-19.36979,"""resilience""",ko
-20.853365,-15.554052,"""holistic""",ko
-4.5952616,-27.07145,"""belief system""",ko
-27.261301,-33.221386,"""to share""",ko
-1.5209923,-43.42007,"""system""",ko
-9.293496,-40.35705,"""change""",ko
-14.377789,-32.11808,"""tragedy""",ko
-2.7234373,-43.511494,"""relationship""",ko
-21.135893,-15.239403,"""outsider""",ko
-1.3842436,-45.667645,"""science""",ko
-27.26756,-25.48293,"""to teach""",ko
-4.5451937,-35.19156,"""happiness""",ko
-6.6163187,-34.136677,"""eternity""",ko
0.5144158,-47.665474,"""welfare""",ko
-11.501189,-27.645939,"""civilization""",ko
-15.314501,-45.037388,"""present""",ko
5.9815097,-48.03121,"""harmony""",ko
-15.601309,-38.79872,"""dissemination""",ko
-15.548622,-41.123238,"""equality""",ko
-0.2638333,-44.06681,"""book""",ko
-22.769295,-29.117327,"""imbalance""",ko
-26.317995,-18.772356,"""wisely""",ko
-19.961666,-28.010511,"""asset""",ko
-4.3133044,-31.376646,"""respect""",ko
-27.348896,-31.925007,"""to begin""",ko
-22.729881,-17.866188,"""social participation""",ko
2.7961752,-49.239956,"""counseling""",ko
-0.07181172,-45.33045,"""generation""",ko
-1.5230905,-46.56253,"""business""",ko
-10.953461,-45.416855,"""technological innovation""",ko
-13.588947,-26.61196,"""perspective""",ko
-13.311441,-36.30832,"""positivity""",ko
-28.403214,-24.56831,"""to fade""",ko
-5.5542254,-44.501694,"""potential""",ko
-25.957516,-30.51697,"""to feel""",ko
-26.12611,-35.776222,"""to create""",ko
-20.126282,-27.487347,"""autonomy""",ko
-1.385766,-48.76953,"""environment""",ko
-1.8375498,-44.371803,"""structure""",ko
-10.162811,-29.532845,"""inspiration""",ko
-8.2917595,-39.13487,"""trust""",ko
-18.05751,-33.211292,"""pursuit""",ko
-26.341057,-18.673893,"""wise""",ko
-13.386979,-24.939034,"""personality""",ko
-8.005239,-24.873999,"""climate""",ko
-17.24968,-17.30568,"""donation""",ko
