x,y,text,lang
-0.29814506,-20.225313,"""Everything develops in stages.""",ko
-12.677718,-11.477134,"""Use positive words often.""",ko
-8.032937,-14.203018,"""Let’s do our best at the designated time.""",ko
3.7806237,-14.494655,"""The next step is always a better choice.""",ko
-7.824516,-26.408056,"""Music is a wonderful way to express emotions.""",ko
3.0444171,-20.89552,"""Be grateful for the little joys of life.""",ko
6.511043,-25.783436,"""I will not give up on my dreams.""",ko
-16.66545,-15.07943,"""I read books every day.""",ko
-12.660441,-18.678083,"""Let’s follow our passions.""",ko
-1.596014,-17.677681,"""Good habits lead me.""",ko
-5.499621,-15.225766,"""People are all connected to each other.""",ko
-9.639524,-10.561041,"""Let’s turn crises into opportunities.""",ko
4.8063283,-23.01015,"""We must not lose hope.""",ko
-14.330342,-21.453041,"""I jog every morning.""",ko
-12.829507,-13.471009,"""Dream of positive changes.""",ko
-5.529403,-17.015501,"""Connections with people are important.""",ko
1.6302371,-21.300589,"""Change is an opportunity for growth.""",ko
2.508304,-8.835851,"""True change begins from within.""",ko
-0.09317564,-25.983244,"""Experience is necessary to gain wisdom.""",ko
-3.683779,-10.792978,"""Dreams can become reality.""",ko
-5.128825,-8.763058,"""The most valuable things are not seen.""",ko
-1.651175,-26.730114,"""Accepting the past is important.""",ko
6.3853884,-22.239134,"""Don’t lose your smile even in difficulties.""",ko
-16.108105,-16.209562,"""Let’s have a grateful heart every day.""",ko
0.16985257,-11.060592,"""Time with friends is precious.""",ko
-6.757478,-24.339764,"""Share your story.""",ko
6.6471605,-15.935978,"""Cherish even small things.""",ko
-11.713869,-9.031026,"""A proactive attitude is necessary.""",ko
-7.5776057,-17.500746,"""Support makes people stronger.""",ko
1.4004381,-7.698228,"""Positive change starts from within.""",ko
-0.40406772,-23.655125,"""You must listen to your inner voice.""",ko
-5.2891884,-8.483422,"""Everyone has a story to tell.""",ko
-9.5648775,-22.072449,"""Let’s understand each other through conversation.""",ko
-16.413218,-18.54016,"""Set small goals every day.""",ko
-4.6366534,-24.189743,"""It’s important to love yourself.""",ko
-3.7922778,-27.977055,"""It is important to respect others.""",ko
-4.5072527,-21.854082,"""Nature brings me peace.""",ko
-0.48298657,-8.981896,"""Happiness comes from small moments.""",ko
-12.063832,-26.18137,"""I strive to achieve my dreams.""",ko
-7.04791,-21.625362,"""Today is the first day of my life.""",ko
-10.248615,-14.399686,"""Always maintain a positive mindset.""",ko
-2.555117,-24.6229,"""Faith propels us forward.""",ko
-0.86336285,-19.897478,"""Daily progress is important.""",ko
5.03051,-17.27818,"""Cherish every moment.""",ko
7.504841,-22.109201,"""Don’t forget to smile every day.""",ko
-7.5648265,-22.905542,"""Let’s do our best in everything we do.""",ko
-5.25052,-25.928127,"""It is important to express yourself.""",ko
2.6357756,-24.713936,"""Keep moving towards your goals.""",ko
1.4626526,-7.440772,"""Positive change starts with small habits.""",ko
-3.659576,-17.694443,"""Knowledge is power.""",ko
-1.9885231,-15.222572,"""Exercise helps maintain health.""",ko
-16.378239,-8.461908,"""It is important to take action first.""",ko
